trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
84,False,"{'a': 0.35, 'e': 0.5799999999999996}",20,0,-103.9839249299119,"{0: 13, 1: 0, 2: 4, 3: 2, 4: 1}",0
85,False,"{'a': 0.35, 'e': 0.5749999999999996}",30,0,-52.70503144895088,"{0: 20, 1: 4, 2: 6, 3: 0, 4: 0}",0
86,False,"{'a': 0.35, 'e': 0.5699999999999996}",25,0,-7.508731314865228,"{0: 21, 1: 3, 2: 1, 3: 0, 4: 0}",0
87,False,"{'a': 0.35, 'e': 0.5649999999999996}",30,4,-3.3581714349037215,"{0: 21, 1: 2, 2: 3, 3: 0, 4: 0}",1
88,False,"{'a': 0.35, 'e': 0.5599999999999996}",25,11,3.345785797497867,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
89,False,"{'a': 0.35, 'e': 0.5549999999999996}",20,0,-28.798146767346058,"{0: 14, 1: 3, 2: 3, 3: 0, 4: 0}",0
90,False,"{'a': 0.35, 'e': 0.5499999999999996}",25,0,-84.06140101583378,"{0: 18, 1: 1, 2: 4, 3: 1, 4: 1}",0
91,False,"{'a': 0.35, 'e': 0.5449999999999996}",25,0,-59.69462913251399,"{0: 19, 1: 1, 2: 4, 3: 0, 4: 1}",1
92,False,"{'a': 0.35, 'e': 0.5399999999999996}",20,12,11.869624412199961,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
93,False,"{'a': 0.35, 'e': 0.5349999999999996}",25,8,-62.70719972248608,"{0: 12, 1: 2, 2: 1, 3: 1, 4: 1}",1
94,False,"{'a': 0.35, 'e': 0.5299999999999996}",20,14,-2.6448078328514875,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
95,False,"{'a': 0.35, 'e': 0.5249999999999996}",25,10,-8.572555531670707,"{0: 11, 1: 2, 2: 2, 3: 0, 4: 0}",1
96,False,"{'a': 0.35, 'e': 0.5199999999999996}",20,9,18.118947951847275,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
97,False,"{'a': 0.35, 'e': 0.5149999999999996}",20,10,6.711510006753589,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
98,False,"{'a': 0.35, 'e': 0.5099999999999996}",20,1,-77.28515800880369,"{0: 13, 1: 1, 2: 3, 3: 1, 4: 1}",1
99,False,"{'a': 0.35, 'e': 0.5049999999999996}",25,14,8.682097089554313,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
