,source,dbType,source_type,jobType,run_time,total_objects_count,avg_object_run_time,avg_run_time,max_run_time,min_run_time,std_run_time,avg_table_run_time,max_table_run_time,min_table_run_time
58,FX Rates,oracle,db,hive,130,42,85.5000,68.5119453925,632.0,1.0,56.7723797249,61.0285400785,72.9273504274,49.1297297297
59,FX Rates,oracle,db,raw,1628,165,45.5091,2012.73559322,4843.0,443.0,622.421159329,71.5938814001,879.426315789,43.5693779904
60,FX Rates,oracle,db,hive,48,2,41.5000,68.5119453925,632.0,1.0,56.7723797249,61.0285400785,72.9273504274,49.1297297297
61,FX Rates,oracle,db,raw,1618,165,46.0485,2012.73559322,4843.0,443.0,622.421159329,71.5938814001,879.426315789,43.5693779904
62,FX Rates,oracle,db,hive,101,2,66.5000,68.5119453925,632.0,1.0,56.7723797249,61.0285400785,72.9273504274,49.1297297297
63,FX Rates,oracle,db,raw,1725,165,47.7212,2012.73559322,4843.0,443.0,622.421159329,71.5938814001,879.426315789,43.5693779904
64,FX Rates,oracle,db,hive,46,2,39.5000,68.5119453925,632.0,1.0,56.7723797249,61.0285400785,72.9273504274,49.1297297297
65,FX Rates,oracle,db,raw,1699,165,48.2970,2012.73559322,4843.0,443.0,622.421159329,71.5938814001,879.426315789,43.5693779904
66,FX Rates,oracle,db,hive,111,2,76.5000,68.5119453925,632.0,1.0,56.7723797249,61.0285400785,72.9273504274,49.1297297297
67,FX Rates,oracle,db,raw,1748,165,48.6545,2012.73559322,4843.0,443.0,622.421159329,71.5938814001,879.426315789,43.5693779904
68,FX Rates,oracle,db,hive,73,2,52.0000,68.5119453925,632.0,1.0,56.7723797249,61.0285400785,72.9273504274,49.1297297297
69,FX Rates,oracle,db,raw,1593,165,46.9939,2012.73559322,4843.0,443.0,622.421159329,71.5938814001,879.426315789,43.5693779904
70,FX Rates,oracle,db,hive,124,2,78.5000,68.5119453925,632.0,1.0,56.7723797249,61.0285400785,72.9273504274,49.1297297297
71,FX Rates,oracle,db,raw,1651,165,48.4727,2012.73559322,4843.0,443.0,622.421159329,71.5938814001,879.426315789,43.5693779904
72,FX Rates,oracle,db,hive,50,2,44.0000,68.5119453925,632.0,1.0,56.7723797249,61.0285400785,72.9273504274,49.1297297297
73,FX Rates,oracle,db,raw,1604,165,47.5394,2012.73559322,4843.0,443.0,622.421159329,71.5938814001,879.426315789,43.5693779904
74,FX Rates,oracle,db,hive,83,2,56.5000,68.5119453925,632.0,1.0,56.7723797249,61.0285400785,72.9273504274,49.1297297297
75,FX Rates,oracle,db,raw,1631,165,48.5030,2012.73559322,4843.0,443.0,622.421159329,71.5938814001,879.426315789,43.5693779904
76,FX Rates,oracle,db,hive,98,2,76.5000,68.5119453925,632.0,1.0,56.7723797249,61.0285400785,72.9273504274,49.1297297297
77,FX Rates,oracle,db,raw,1614,165,48.4364,2012.73559322,4843.0,443.0,622.421159329,71.5938814001,879.426315789,43.5693779904
78,FX Rates,oracle,db,hive,105,2,71.0000,68.5119453925,632.0,1.0,56.7723797249,61.0285400785,72.9273504274,49.1297297297
79,FX Rates,oracle,db,raw,1679,165,51.7091,2012.73559322,4843.0,443.0,622.421159329,71.5938814001,879.426315789,43.5693779904
80,FX Rates,oracle,db,hive,55,2,47.5000,68.5119453925,632.0,1.0,56.7723797249,61.0285400785,72.9273504274,49.1297297297
81,FX Rates,oracle,db,raw,1870,165,53.4000,2012.73559322,4843.0,443.0,622.421159329,71.5938814001,879.426315789,43.5693779904
82,FX Rates,oracle,db,hive,352,2,319.0000,68.5119453925,632.0,1.0,56.7723797249,61.0285400785,72.9273504274,49.1297297297
